NOME,URL,LINGUAGEM,LICENÇA,PUBLICAÇÃO,ALTERAÇÃO,RESUMO,PONTOS
github/codeql,https://github.com/github/codeql,Code QL,MIT License,2022,09/2023,Material é documentação e repositório de bibliotecas CodeQL para implementação de segurança do Github e outras aplicações de segurança que o Github disponibiliza para seus clientes,2096
Bearer/bearer,https://github.com/Bearer/bearer,Go,Elastic License 2.0,2022,09/2023,"Bearer CLI é uma ferramenta de aplicação de teste de segurança estático (SAST) que escaneia o código fonte e analisa o fluxo de dados para descobrir, filtrar e priorizar os riscos de privacidade e segurança",315
nccgroup/VCG,https://github.com/nccgroup/VCG,Visual Basic .Net,GPL-3.0 License,2022,07/2023,"VCG é uma ferramenta de revisão de código automatizada que manipula C/C++, Java, C#, VB, PL/SQL, PHP e COBOL",164
Privado-Inc/privado,https://github.com/Privado-Inc/privado,Dockerfile,GPL-3.0 License,2022,09/2023,É uma ferramnta de análise de código estático para descobrir o fluxo de dados no código.,114
marcinguy/betterscan-ce,https://github.com/marcinguy/betterscan-ce,Python,LGPL 2.1,2021,09/2023,É uma ferramenta que usa muitas outras para análise SAST ,76
security-code-scan/security-code-scan,https://github.com/security-code-scan/security-code-scan,C#,LGPL-3.0 License,2017,2022,Detector de padrões de vulnerabilidades para C# e .Net,45
cycodehq-public/cycode-cli,https://github.com/cycodehq-public/cycode-cli,Python,MIT License,2022,09/2023,"É uma aplicação de linha de comando (CLI) para uso na máquina local, que busca seus repositórios locais por senhas e problemas de configuração de infraestrutura como código (IaC)",44
auth0/repo-supervisor,https://github.com/auth0/repo-supervisor,Javascript,MIT License,2017,06/2023,"É uma ferramenta que ajuda a detectar senhas e segredos no código, pode ser usada como linha de comando ou no Github.",31
bridgecrewio/checkov-action,https://github.com/bridgecrewio/checkov-action,HCL,Apache-2.0 License,2020,02/2023,"É um Github Action que executa verificação Checkov em IaC para identificar configurações incorretas, vulnerabilidades e problemas de conformidade em código, imagens de conteineres e configuraçẽos CI/CD. ",29
22XploiterCrew-Team/Gel4y-Mini-Shell-Backdoor,https://github.com/22XploiterCrew-Team/Gel4y-Mini-Shell-Backdoor,PHP,MIT License,2021,08/2023,"É um backdoor que pode pular alguns sistema de segurança, com código ofuscado. ",28